iter	Passed	Remaining
139	1191	3063
140	1200	3055
141	1206	3041
142	1210	3021
143	1217	3011
144	1225	2999
145	1233	2991
146	1240	2978
147	1253	2981
148	1265	2981
149	1275	2976
150	1285	2971
151	1293	2960
152	1301	2952
153	1308	2940
154	1318	2934
155	1325	2923
156	1334	2916
157	1340	2900
158	1351	2898
159	1361	2893
160	1372	2888
161	1383	2886
162	1395	2885
163	1404	2878
164	1413	2869
165	1424	2866
166	1439	2870
167	1451	2867
168	1460	2859
169	1469	2851
170	1477	2842
171	1484	2830
172	1493	2823
173	1500	2811
174	1508	2800
175	1514	2788
176	1521	2775
177	1530	2768
178	1538	2759
179	1546	2749
180	1554	2738
181	1562	2729
182	1568	2717
183	1577	2709
184	1583	2697
185	1590	2684
186	1599	2676
187	1607	2667
188	1619	2664
189	1633	2664
190	1647	2664
191	1656	2656
192	1663	2646
193	1677	2645
194	1685	2636
195	1693	2626
196	1700	2614
197	1708	2605
198	1716	2596
199	1724	2586
200	1730	2574
201	1739	2566
202	1749	2558
203	1757	2549
204	1763	2538
205	1772	2529
206	1779	2518
207	1786	2507
208	1793	2497
209	1800	2486
210	1807	2475
211	1820	2472
212	1840	2479
213	1850	2473
214	1859	2465
215	1866	2454
216	1874	2444
217	1881	2433
218	1890	2425
219	1897	2415
220	1914	2417
221	1927	2413
222	1946	2418
223	1957	2411
224	1970	2408
225	1980	2400
226	1988	2391
227	1996	2382
228	2004	2372
229	2014	2365
230	2030	2365
231	2042	2359
232	2051	2350
233	2058	2340
234	2069	2333
235	2076	2323
236	2087	2316
237	2095	2307
238	2104	2298
239	2112	2288
240	2120	2278
241	2128	2269
242	2135	2258
243	2142	2248
244	2152	2240
245	2160	2230
246	2167	2220
247	2174	2209
248	2183	2200
249	2193	2193
250	2203	2185
251	2218	2183
252	2231	2178
253	2243	2172
254	2250	2162
255	2259	2153
256	2269	2145
257	2277	2136
258	2288	2129
259	2299	2122
260	2308	2113
261	2316	2103
262	2324	2095
263	2333	2085
264	2342	2077
265	2354	2070
266	2364	2063
267	2373	2054
268	2381	2044
269	2387	2034
270	2396	2025
271	2406	2017
272	2420	2012
273	2435	2008
274	2448	2003
275	2459	1995
276	2468	1987
277	2477	1978
278	2485	1968
279	2494	1960
280	2503	1951
281	2514	1943
282	2522	1934
283	2529	1923
284	2536	1913
285	2545	1904
286	2553	1895
287	2562	1886
288	2570	1876
289	2580	1868
290	2587	1858
291	2595	1849
292	2606	1841
293	2623	1838
294	2631	1828
295	2641	1820
296	2651	1812
297	2659	1802
298	2666	1792
299	2676	1784
300	2683	1774
301	2690	1763
302	2697	1753
303	2707	1745
304	2718	1737
305	2726	1728
306	2736	1720
307	2742	1709
308	2751	1700
309	2756	1689
310	2764	1680
311	2773	1671
312	2779	1660
313	2788	1651
314	2795	1641
315	2800	1630
316	2810	1622
317	2820	1614
318	2827	1604
319	2837	1595
320	2847	1587
321	2856	1578
322	2865	1570
323	2877	1562
324	2886	1554
325	2893	1544
326	2901	1535
327	2914	1528
328	2923	1519
329	2930	1509
330	2939	1500
331	2946	1491
332	2954	1481
333	2960	1471
334	2968	1461
335	2976	1452
336	2984	1443
337	2995	1435
338	3005	1427
339	3017	1419
340	3024	1410
341	3032	1401
342	3041	1392
343	3051	1384
344	3059	1374
345	3067	1365
346	3074	1355
347	3080	1345
348	3088	1336
349	3095	1326
350	3103	1317
351	3111	1308
352	3122	1300
353	3130	1291
354	3138	1282
355	3146	1272
356	3152	1262
357	3159	1253
358	3167	1244
359	3174	1234
360	3184	1226
361	3195	1218
362	3207	1210
363	3218	1202
364	3226	1193
365	3234	1184
366	3242	1175
367	3250	1165
368	3259	1157
369	3268	1148
370	3277	1139
371	3285	1130
372	3293	1121
373	3303	1112
374	3313	1104
375	3324	1096
376	3333	1087
377	3341	1078
378	3350	1069
379	3359	1060
380	3367	1051
381	3375	1042
382	3384	1034
383	3398	1026
384	3418	1021
385	3428	1012
386	3437	1003
387	3444	994
388	3450	984
389	3462	976
390	3471	967
391	3479	958
392	3486	949
393	3495	940
394	3505	931
395	3513	922
396	3520	913
397	3528	904
398	3536	895
399	3544	886
400	3552	877
401	3561	868
402	3568	858
403	3575	849
404	3585	840
405	3597	832
406	3607	824
407	3616	815
408	3628	807
409	3638	798
410	3645	789
411	3653	780
412	3662	771
413	3672	762
414	3678	753
415	3688	744
416	3697	735
417	3703	726
418	3710	717
419	3719	708
420	3725	699
421	3734	690
422	3741	681
423	3751	672
424	3760	663
425	3767	654
426	3775	645
427	3785	636
428	3809	630
429	3826	622
430	3844	615
431	3854	606
432	3863	597
433	3874	589
434	3882	580
435	3893	571
436	3899	562
437	3905	552
438	3912	543
439	3920	534
440	3928	525
441	3937	516
442	3944	507
443	3952	498
444	3960	489
445	3967	480
446	3975	471
447	3986	462
448	3996	453
449	4004	444
450	4014	436
451	4023	427
452	4031	418
453	4037	409
454	4044	400
455	4050	390
456	4057	381
457	4064	372
458	4071	363
459	4079	354
460	4087	345
461	4096	336
462	4105	328
463	4113	319
464	4121	310
465	4130	301
466	4136	292
467	4145	283
468	4153	274
469	4160	265
470	4168	256
471	4181	248
472	4190	239
473	4200	230
474	4208	221
475	4218	212
476	4228	203
477	4236	194
478	4242	186
479	4248	177
480	4255	168
481	4262	159
482	4269	150
483	4277	141
484	4285	132
485	4294	123
486	4302	114
487	4311	106
488	4318	97
489	4325	88
490	4332	79
491	4339	70
492	4346	61
493	4353	52
494	4363	44
495	4373	35
496	4387	26
497	4398	17
498	4410	8
499	4419	0
